event_name,commence,status,bookmaker,last_update,odd_1,odd_2,odd_draw
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,Bovada,12/18/2024,-145,125,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,DraftKings,12/18/2024,-375,295,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,MyBookie.ag,12/18/2024,-370,279,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,FanDuel,12/18/2024,-375,300,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetRivers,12/18/2024,-345,275,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetMGM,12/18/2024,-350,275,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,LowVig.ag,12/18/2024,-375,305,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetOnline.ag,12/18/2024,-375,305,
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,Bovada,12/18/2024,-380,290,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,DraftKings,12/18/2024,164,-198,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,MyBookie.ag,12/18/2024,168,-208,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,FanDuel,12/18/2024,168,-200,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetRivers,12/18/2024,163,-195,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetMGM,12/18/2024,155,-190,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,LowVig.ag,12/18/2024,170,-195,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetOnline.ag,12/18/2024,170,-195,
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,Bovada,12/18/2024,180,-220,
New York Knicks_San Antonio Spurs,12/25/2024,Pending,DraftKings,12/18/2024,-395,310,
New York Knicks_San Antonio Spurs,12/25/2024,Pending,MyBookie.ag,12/18/2024,-417,292,
Dallas Mavericks_Minnesota Timberwolves,12/25/2024,Pending,DraftKings,12/18/2024,-162,136,
Dallas Mavericks_Minnesota Timberwolves,12/25/2024,Pending,MyBookie.ag,12/18/2024,-167,130,
Golden State Warriors_Los Angeles Lakers,12/25/2024,Pending,DraftKings,12/18/2024,-185,154,
Golden State Warriors_Los Angeles Lakers,12/25/2024,Pending,MyBookie.ag,12/18/2024,-196,151,
Denver Nuggets_Phoenix Suns,12/25/2024,Pending,DraftKings,12/18/2024,110,-130,
Denver Nuggets_Phoenix Suns,12/25/2024,Pending,MyBookie.ag,12/18/2024,-101,-125,
