event_name,commence,status,bookmaker,last_update,point_1,point_2,odd_1,odd_2
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 214.0,under 214.0,-115,-105
Minnesota Timberwolves_New York Knicks,12/19/2024,Pending,Bovada,12/18/2024,over 214.5,under 214.5,-105,-115
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,DraftKings,12/18/2024,over 233.5,under 233.5,-108,-112
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 232.5,under 232.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,FanDuel,12/18/2024,over 233.5,under 233.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetRivers,12/18/2024,over 233.5,under 233.5,-108,-113
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetMGM,12/18/2024,over 233.5,under 233.5,-110,-110
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,LowVig.ag,12/18/2024,over 233.5,under 233.5,-113,-102
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 233.5,under 233.5,-115,-105
Denver Nuggets_Portland Trail Blazers,12/19/2024,Pending,Bovada,12/18/2024,over 232.0,under 232.0,-110,-110
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,DraftKings,12/18/2024,over 232.0,under 232.0,-108,-112
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,MyBookie.ag,12/18/2024,over 232.0,under 232.0,-110,-110
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,FanDuel,12/18/2024,over 232.5,under 232.5,-110,-110
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetRivers,12/18/2024,over 232.0,under 232.0,-108,-113
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetMGM,12/18/2024,over 231.5,under 231.5,-115,-105
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,LowVig.ag,12/18/2024,over 232.0,under 232.0,-107,-107
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,BetOnline.ag,12/18/2024,over 232.0,under 232.0,-110,-110
Los Angeles Lakers_Sacramento Kings,12/19/2024,Pending,Bovada,12/18/2024,over 232.5,under 232.5,-105,-115
New York Knicks_San Antonio Spurs,12/25/2024,Pending,DraftKings,12/18/2024,over 226.5,under 226.5,-110,-110
New York Knicks_San Antonio Spurs,12/25/2024,Pending,MyBookie.ag,12/18/2024,over 226.0,under 226.0,-110,-110
Dallas Mavericks_Minnesota Timberwolves,12/25/2024,Pending,DraftKings,12/18/2024,over 227.0,under 227.0,-110,-110
Dallas Mavericks_Minnesota Timberwolves,12/25/2024,Pending,MyBookie.ag,12/18/2024,over 227.5,under 227.5,-110,-110
Golden State Warriors_Los Angeles Lakers,12/25/2024,Pending,DraftKings,12/18/2024,over 234.0,under 234.0,-110,-110
Golden State Warriors_Los Angeles Lakers,12/25/2024,Pending,MyBookie.ag,12/18/2024,over 234.0,under 234.0,-110,-110
Denver Nuggets_Phoenix Suns,12/25/2024,Pending,DraftKings,12/18/2024,over 227.5,under 227.5,-110,-110
Denver Nuggets_Phoenix Suns,12/25/2024,Pending,MyBookie.ag,12/18/2024,over 227.5,under 227.5,-110,-110
